Detector,DateTime_local,Date_local,Time_local,Hour_local,auto_id,match_ratio,fc,sc,offset,margin,alternate_1,alternate_2,alternate_3,manual_id,n,pulses,dur,files,channel,fmax,fmin,duration,detector_id,source_file,folder,in_file,out_file_fs,out_file_zc,indir,outdir,matching,fmean,tbc,fk,tk,s1,tc,qual,review_orgid,DateTime_UTC,species,Night
MCE,2025-10-17T00:04:10Z,2025-10-16,19:04:10,19,LASCIN,0.667,23.647,12.77,0,0.28492,NA,NA,NA,NA,6,6,11.612,1,0,25.868,21.991,9,24A04F085FDF19C0,Schmeeckle 2025 Master.csv,10 17\20251017,24A04F085FDF19C0_20251017_000410T.WAV,24A04F085FDF19C0_20251017_000410_000,NA,NA,MCE,4,23.821,584.871,24.043,5.315,70.102,7.007,1.83,NA,2025-10-17T00:04:10Z,LASCIN,2025-10-16
MCE,2025-10-17T01:22:20Z,2025-10-16,20:22:20,20,LASCIN,0.429,24.77,10.66,0,0.144812,NA,NA,NA,NA,7,7,7.935,1,0,29.469,24.265,9,24A04F085FDF19C0,Schmeeckle 2025 Master.csv,10 17\20251017,24A04F085FDF19C0_20251017_012220T.WAV,24A04F085FDF19C0_20251017_012220_000,NA,NA,MCE,3,26.266,890.52,25.311,5.195,63.508,7.258,2.3,NA,2025-10-17T01:22:20Z,LASCIN,2025-10-16
MCE,2025-10-17T01:22:34Z,2025-10-16,20:22:34,20,LASNOC,0.6,24.455,18.79,0,0.149056,NA,NA,NA,NA,10,10,5.661,1,0,27.22,24.069,9,24A04F085FDF19C0,Schmeeckle 2025 Master.csv,10 17\20251017,24A04F085FDF19C0_20251017_012234T.WAV,24A04F085FDF19C0_20251017_012234_000,NA,NA,MCE,6,25.43,338.887,25.736,2.227,55.53,5.039,2.23,NA,2025-10-17T01:22:34Z,LASNOC,2025-10-16
MCE,2025-10-17T01:55:28Z,2025-10-16,20:55:28,20,LASCIN,0.278,24.211,10.59,0,0.108448,NA,NA,NA,NA,19,18,7.131,1,0,26.898,23.733,9,24A04F085FDF19C0,Schmeeckle 2025 Master.csv,10 17\20251017,24A04F085FDF19C0_20251017_015528T.WAV,24A04F085FDF19C0_20251017_015528_000,NA,NA,MCE,5,24.742,279.851,24.713,2.945,22.13,5.418,6.22,NA,2025-10-17T01:55:28Z,LASCIN,2025-10-16
MCE,2025-10-23T02:21:36Z,2025-10-22,21:21:36,21,LASCIN,0.375,24.224,9.8,0,0.11776,NA,NA,NA,NA,9,8,5.236,1,0,25.517,23.83,9,24A04F085FDF19C0,Schmeeckle 2025 Master.csv,10 23\20251023,24A04F085FDF19C0_20251023_022136T.WAV,24A04F085FDF19C0_20251023_022136_000,NA,NA,MCE,3,24.544,774.457,24.622,2.265,31.291,4.145,2.09,NA,2025-10-23T02:21:36Z,LASCIN,2025-10-22
MCE,2025-10-23T11:32:02Z,2025-10-23,06:32:02,6,LASBOR,0.6,30.922,4.21,0,0.059108,NA,NA,NA,NA,5,5,15.104,1,0,31.36,30.29,9,24A04F085FDF19C0,Schmeeckle 2025 Master.csv,10 23\20251023,24A04F085FDF19C0_20251023_113202T.WAV,24A04F085FDF19C0_20251023_113202_000,NA,NA,MCE,3,30.931,201.73,30.997,2.79,-5.5,8.312,3.2,NA,2025-10-23T11:32:02Z,LASBOR,2025-10-22
LPO,2025-10-23T23:57:54Z,2025-10-23,18:57:54,18,LASCIN,0.5,23.846,23.52,0,0.155846,NA,NA,NA,NA,4,4,5.476,1,0,26.297,23.368,9,24E144036484A442,Schmeeckle 2025 Master.csv,10 26\20251023,24E144036484A442_20251023_235754T.WAV,24E144036484A442_20251023_235754_000,NA,NA,LPO,2,24.545,243.574,24.534,2.556,72.964,4.211,1.03,NA,2025-10-23T23:57:54Z,LASCIN,2025-10-23
LPO,2025-10-23T23:58:08Z,2025-10-23,18:58:08,18,LASCIN,0.842,22.268,17.06,0,0.217312,NA,NA,NA,NA,19,19,13.65,1,0,28.662,21.416,9,24E144036484A442,Schmeeckle 2025 Master.csv,10 26\20251023,24E144036484A442_20251023_235808T.WAV,24E144036484A442_20251023_235808_000,NA,NA,LPO,16,23.648,333.233,23.336,7.079,144.647,11.072,3.34,NA,2025-10-23T23:58:08Z,LASCIN,2025-10-23
MCE,2025-10-24T01:19:06Z,2025-10-23,20:19:06,20,EPTFUS,0.625,24.237,17.47,0,0.126042,NA,NA,NA,NA,17,16,9.768,1,0,29.141,23.732,9,24A04F085FDF19C0,Schmeeckle 2025 Master.csv,10 26\20251024,24A04F085FDF19C0_20251024_011906T.WAV,24A04F085FDF19C0_20251024_011906_000,NA,NA,MCE,10,25.481,468.638,25.428,4.012,86.578,8.409,3.02,NA,2025-10-24T01:19:06Z,EPTFUS,2025-10-23
LPO,2025-10-24T08:54:48Z,2025-10-24,03:54:48,3,LASNOC,0.368,24.748,16.5,0,0.108837,NA,NA,NA,NA,19,19,10.356,1,0,31.689,23.939,9,24E144036484A442,Schmeeckle 2025 Master.csv,10 26\20251024,24E144036484A442_20251024_085448T.WAV,24E144036484A442_20251024_085448_000,NA,NA,LPO,7,26.215,424.323,25.844,4.556,170.555,8.445,2.25,NA,2025-10-24T08:54:48Z,LASNOC,2025-10-23
LPI,2025-10-25T00:29:38Z,2025-10-24,19:29:38,19,LASCIN,0.923,14.603,1.26,0,0.351192,NA,NA,NA,NA,40,39,8.256,1,0,14.754,14.49,9,245AAA0666BC08AE,Schmeeckle 2025 Master.csv,10 26\20251025,245AAA0666BC08AE_20251025_002938T.WAV,245AAA0666BC08AE_20251025_002938_000,NA,NA,LPI,36,14.611,214.909,14.624,3.325,-0.177,5.995,10.32,NA,2025-10-25T00:29:38Z,LASCIN,2025-10-24
MCE,2025-10-25T00:39:54Z,2025-10-24,19:39:54,19,LASCIN,0.389,24.023,9.04,0,0.138787,NA,NA,NA,NA,19,18,7.302,1,0,26.291,23.434,9,24A04F085FDF19C0,Schmeeckle 2025 Master.csv,10 26\20251025,24A04F085FDF19C0_20251025_003954T.WAV,24A04F085FDF19C0_20251025_003954_000,NA,NA,MCE,7,24.414,343.776,24.696,2.073,83.1,5.394,4.02,NA,2025-10-25T00:39:54Z,LASCIN,2025-10-24
LPO,2025-10-25T00:44:06Z,2025-10-24,19:44:06,19,LASCIN,0.556,24.44,17.57,0,0.183336,NA,NA,NA,NA,9,9,9.616,1,0,31.306,23.987,9,24E144036484A442,Schmeeckle 2025 Master.csv,10 26\20251025,24E144036484A442_20251025_004406T.WAV,24E144036484A442_20251025_004406_000,NA,NA,LPO,5,26.212,403.258,25.211,5.329,89.595,7.946,1.9,NA,2025-10-25T00:44:06Z,LASCIN,2025-10-24
LPI,2025-10-25T00:59:30Z,2025-10-24,19:59:30,19,LASNOC,0.474,24.41,9.38,0,0.124725,NA,NA,NA,NA,20,19,4.742,1,0,26.288,23.924,9,245AAA0666BC08AE,Schmeeckle 2025 Master.csv,10 26\20251025,245AAA0666BC08AE_20251025_005930T.WAV,245AAA0666BC08AE_20251025_005930_000,NA,NA,LPI,9,24.803,457.592,24.625,2.73,98.265,3.931,7.26,NA,2025-10-25T00:59:30Z,LASNOC,2025-10-24
LPO,2025-10-25T01:33:34Z,2025-10-24,20:33:34,20,EPTFUS,0.714,24.479,13.41,0,0.202889,NA,NA,NA,NA,14,14,10.064,1,0,35.765,23.822,9,24E144036484A442,Schmeeckle 2025 Master.csv,10 26\20251025,24E144036484A442_20251025_013334T.WAV,24E144036484A442_20251025_013334_000,NA,NA,LPO,10,27.017,326.847,25.636,5.292,201.441,8.966,2.23,NA,2025-10-25T01:33:34Z,EPTFUS,2025-10-24
LPI,2025-10-25T02:30:02Z,2025-10-24,21:30:02,21,EPTFUS,0.5,21.547,-9.96,0,0.104054,NA,NA,NA,NA,4,4,2.683,1,0,21.697,21.24,9,245AAA0666BC08AE,Schmeeckle 2025 Master.csv,10 26\20251025,245AAA0666BC08AE_20251025_023002T.WAV,245AAA0666BC08AE_20251025_023002_000,NA,NA,LPI,2,21.46,129.893,21.405,0.614,7.295,1.924,0.98,NA,2025-10-25T02:30:02Z,EPTFUS,2025-10-24
LPO,2025-10-26T02:43:20Z,2025-10-25,21:43:20,21,LASCIN,0.5,24.441,-2.8,0,0.171916,NA,NA,NA,NA,4,4,5.933,1,0,24.95,23.984,9,24E144036484A442,Schmeeckle 2025 Master.csv,10 26\20251026,24E144036484A442_20251026_024320T.WAV,24E144036484A442_20251026_024320_000,NA,NA,LPO,2,24.431,91.409,24.528,2.77,43.339,4.041,0.6,NA,2025-10-26T02:43:20Z,LASCIN,2025-10-25
LPE,2025-10-20T03:26:42Z,2025-10-19,22:26:42,22,EPTFUS,0.757,27.889,35.96,0.000,0.277263,LASNOC,NA,NA,NA,39,37,4.780,1,0,40.243,26.845,9.000,245AAA0666BC1507,id.csv,10 21\20251020,245AAA0666BC1507_20251020_032642T.WAV,245AAA0666BC1507_20251020_032642_000,NA,NA,NA,28,31.078,228.734,28.826,3.215,343.460,4.315,7.40,NA,2025-10-20T03:26:42Z,EPTFUS,2025-10-19
LPE,2025-10-15T00:14:54Z,2025-10-14,19:14:54,19,EPTFUS,0.697,29.383,59.54,0.000,0.218344,LASNOC,NA,NA,NA,39,33,4.249,1,0,46.638,28.863,9.000,245AAA0666BC1507,id.csv,10 19\20251015,245AAA0666BC1507_20251015_001454T.WAV,245AAA0666BC1507_20251015_001454_000,NA,NA,NA,23,34.586,148.619,30.710,3.268,377.321,4.049,5.39,NA,2025-10-15T00:14:54Z,EPTFUS,2025-10-14
LPE,2025-10-21T00:56:12Z,2025-10-20,19:56:12,19,EPTFUS,0.733,26.194,31.93,0.000,0.310005,LASNOC,NA,NA,NA,31,30,6.762,1,0,41.021,25.905,9.000,245AAA0666BC1507,id.csv,10 21\20251021,245AAA0666BC1507_20251021_005612T.WAV,245AAA0666BC1507_20251021_005612_000,NA,NA,NA,22,30.112,289.161,27.322,4.648,341.926,6.424,5.18,NA,2025-10-21T00:56:12Z,EPTFUS,2025-10-20
LPE,2025-10-17T01:18:36Z,2025-10-16,20:18:36,20,EPTFUS,0.789,27.474,31.42,0.000,0.376836,LASNOC,NA,NA,NA,20,19,5.712,1,0,37.701,27.097,9.000,245AAA0666BC1507,id.csv,10 19\20251017,245AAA0666BC1507_20251017_011836T.WAV,245AAA0666BC1507_20251017_011836_000,NA,NA,NA,15,30.603,152.162,28.155,4.239,222.410,5.463,5.02,NA,2025-10-17T01:18:36Z,EPTFUS,2025-10-16
LPE,2025-10-23T01:27:42Z,2025-10-22,20:27:42,20,EPTFUS,0.867,26.773,37.80,0.000,0.359545,LASNOC,NA,NA,NA,15,15,4.544,1,0,34.741,26.572,9.000,245AAA0666BC1507,id.csv,10 26\20251023,245AAA0666BC1507_20251023_012742T.WAV,245AAA0666BC1507_20251023_012742_000,NA,NA,NA,13,29.263,381.064,27.564,3.071,192.898,4.256,2.95,NA,2025-10-23T01:27:42Z,EPTFUS,2025-10-22
LPE,2025-10-19T01:19:00Z,2025-10-18,20:19:00,20,EPTFUS,0.706,26.319,34.08,0.000,0.278173,LASNOC,LASCIN,NA,NA,18,17,5.127,1,0,33.622,26.067,9.000,245AAA0666BC1507,id.csv,10 19\20251019,245AAA0666BC1507_20251019_011900T.WAV,245AAA0666BC1507_20251019_011900_000,NA,NA,NA,12,28.513,322.163,27.252,3.333,209.815,4.756,4.17,NA,2025-10-19T01:19:00Z,EPTFUS,2025-10-18
LPE,2025-10-18T00:03:24Z,2025-10-17,19:03:24,19,EPTFUS,0.733,35.687,58.26,0.000,0.270972,LASNOC,NA,NA,NA,17,15,4.472,1,0,52.476,33.721,9.000,245AAA0666BC1507,id.csv,10 19\20251018,245AAA0666BC1507_20251018_000324T.WAV,245AAA0666BC1507_20251018_000324_000,NA,NA,NA,11,40.157,437.626,37.072,2.914,291.427,4.176,4.16,NA,2025-10-18T00:03:24Z,EPTFUS,2025-10-17
LPE,2025-10-26T01:02:30Z,2025-10-25,20:02:30,20,EPTFUS,0.688,26.320,43.05,0.000,0.311133,LASNOC,NA,NA,NA,17,16,5.059,1,0,37.878,25.865,9.000,245AAA0666BC1507,id.csv,10 26\20251026,245AAA0666BC1507_20251026_010230T.WAV,245AAA0666BC1507_20251026_010230_000,NA,NA,NA,11,29.582,304.721,27.357,3.400,291.845,4.788,3.82,NA,2025-10-26T01:02:30Z,EPTFUS,2025-10-25
LPE,2025-10-17T01:18:50Z,2025-10-16,20:18:50,20,EPTFUS,0.533,27.766,31.75,0.000,0.203948,LASNOC,NA,NA,NA,15,15,5.527,1,0,37.355,27.495,9.000,245AAA0666BC1507,id.csv,10 19\20251017,245AAA0666BC1507_20251017_011850T.WAV,245AAA0666BC1507_20251017_011850_000,NA,NA,NA,8,30.667,377.979,28.835,3.734,249.532,5.163,3.85,NA,2025-10-17T01:18:50Z,EPTFUS,2025-10-16
LPE,2025-10-17T11:33:12Z,2025-10-17,06:33:12,6,EPTFUS,1.000,89.395,-59.42,0.000,0.241863,NA,NA,NA,NA,8,7,3.891,1,0,96.967,76.870,9.000,245AAA0666BC1507,id.csv,10 19\20251017,245AAA0666BC1507_20251017_113312T.WAV,245AAA0666BC1507_20251017_113312_000,NA,NA,NA,7,87.726,294.486,88.482,2.204,-142.934,2.536,9.93,NA,2025-10-17T11:33:12Z,EPTFUS,2025-10-16
LPE,2025-10-20T03:26:28Z,2025-10-19,22:26:28,22,EPTFUS,1.000,27.181,40.26,0.000,0.380571,NA,NA,NA,NA,7,7,4.198,1,0,35.483,26.671,9.000,245AAA0666BC1507,id.csv,10 21\20251020,245AAA0666BC1507_20251020_032628T.WAV,245AAA0666BC1507_20251020_032628_000,NA,NA,NA,7,29.675,147.079,28.208,2.567,221.265,3.974,1.58,NA,2025-10-20T03:26:28Z,EPTFUS,2025-10-19
LPE,2025-10-24T06:31:58Z,2025-10-24,01:31:58,1,EPTFUS,1.000,26.283,16.01,0.000,0.359292,NA,NA,NA,NA,6,6,7.471,1,0,34.687,26.123,9.000,245AAA0666BC1507,id.csv,10 26\20251024,245AAA0666BC1507_20251024_063158T.WAV,245AAA0666BC1507_20251024_063158_000,NA,NA,NA,6,28.884,364.835,26.755,6.131,220.800,7.097,1.28,NA,2025-10-24T06:31:58Z,EPTFUS,2025-10-23
LPE,2025-10-17T11:36:56Z,2025-10-17,06:36:56,6,EPTFUS,1.000,87.718,267.58,0.000,0.243500,NA,NA,NA,NA,6,6,3.517,1,0,102.374,81.162,9.000,245AAA0666BC1507,id.csv,10 19\20251017,245AAA0666BC1507_20251017_113656T.WAV,245AAA0666BC1507_20251017_113656_000,NA,NA,NA,6,90.940,593.407,92.514,1.369,-1139.083,1.646,7.81,NA,2025-10-17T11:36:56Z,EPTFUS,2025-10-16
LPE,2025-10-19T04:34:18Z,2025-10-18,23:34:18,23,EPTFUS,0.857,26.418,36.92,0.000,0.393061,LASNOC,NA,NA,NA,8,7,4.638,1,0,36.171,26.185,9.000,245AAA0666BC1507,id.csv,10 19\20251019,245AAA0666BC1507_20251019_043418T.WAV,245AAA0666BC1507_20251019_043418_000,NA,NA,NA,6,29.334,409.292,27.452,3.132,278.889,4.424,2.21,NA,2025-10-19T04:34:18Z,EPTFUS,2025-10-18
LPE,2025-10-18T23:51:44Z,2025-10-18,18:51:44,18,EPTFUS,0.750,28.235,60.03,0.000,0.245775,LASNOC,NA,NA,NA,8,8,5.012,1,0,41.644,27.716,9.000,245AAA0666BC1507,id.csv,10 19\20251018,245AAA0666BC1507_20251018_235144T.WAV,245AAA0666BC1507_20251018_235144_000,NA,NA,NA,6,31.949,155.271,30.196,3.347,338.068,4.802,1.09,NA,2025-10-18T23:51:44Z,EPTFUS,2025-10-18
LPE,2025-10-20T03:26:56Z,2025-10-19,22:26:56,22,EPTFUS,1.000,30.875,77.30,0.000,0.136669,NA,NA,NA,NA,9,5,3.406,1,0,39.454,27.776,9.000,245AAA0666BC1507,id.csv,10 21\20251020,245AAA0666BC1507_20251020_032656T.WAV,245AAA0666BC1507_20251020_032656_000,NA,NA,NA,5,32.072,187.882,33.071,1.177,370.972,2.382,2.37,NA,2025-10-20T03:26:56Z,EPTFUS,2025-10-19
LPE,2025-10-17T11:23:24Z,2025-10-17,06:23:24,6,EPTFUS,1.000,90.275,12.62,0.000,0.240204,NA,NA,NA,NA,6,5,2.544,1,0,101.203,79.257,9.000,245AAA0666BC1507,id.csv,10 19\20251017,245AAA0666BC1507_20251017_112324T.WAV,245AAA0666BC1507_20251017_112324_000,NA,NA,NA,5,89.908,834.631,89.910,1.192,-668.376,1.479,8.96,NA,2025-10-17T11:23:24Z,EPTFUS,2025-10-16
LPE,2025-10-17T23:58:16Z,2025-10-17,18:58:16,18,EPTFUS,0.500,27.596,25.98,0.000,0.240162,LASNOC,NA,NA,NA,9,8,4.055,1,0,33.263,27.196,9.000,245AAA0666BC1507,id.csv,10 19\20251017,245AAA0666BC1507_20251017_235816T.WAV,245AAA0666BC1507_20251017_235816_000,NA,NA,NA,4,29.299,909.165,28.409,2.781,152.545,3.779,2.63,NA,2025-10-17T23:58:16Z,EPTFUS,2025-10-17
LPE,2025-10-17T11:29:28Z,2025-10-17,06:29:28,6,EPTFUS,1.000,88.720,137.06,0.000,0.237487,NA,NA,NA,NA,3,3,2.519,1,0,98.105,74.398,9.000,245AAA0666BC1507,id.csv,10 19\20251017,245AAA0666BC1507_20251017_112928T.WAV,245AAA0666BC1507_20251017_112928_000,NA,NA,NA,3,88.957,166.778,91.957,1.358,-2616.541,1.806,3.44,NA,2025-10-17T11:29:28Z,EPTFUS,2025-10-16
LPE,2025-10-17T11:24:06Z,2025-10-17,06:24:06,6,EPTFUS,1.000,85.951,413.85,0.000,0.242328,NA,NA,NA,NA,3,3,2.538,1,0,98.183,77.455,9.000,245AAA0666BC1507,id.csv,10 19\20251017,245AAA0666BC1507_20251017_112406T.WAV,245AAA0666BC1507_20251017_112406_000,NA,NA,NA,3,89.435,3199.040,90.966,1.806,-2556.573,2.117,4.23,NA,2025-10-17T11:24:06Z,EPTFUS,2025-10-16
LPE,2025-10-18T00:04:20Z,2025-10-17,19:04:20,19,EPTFUS,1.000,29.028,61.28,0.000,0.341576,NA,NA,NA,NA,3,3,3.205,1,0,34.229,28.680,9.000,245AAA0666BC1507,id.csv,10 19\20251018,245AAA0666BC1507_20251018_000420T.WAV,245AAA0666BC1507_20251018_000420_000,NA,NA,NA,3,31.054,592.887,30.433,2.097,103.128,3.076,1.02,NA,2025-10-18T00:04:20Z,EPTFUS,2025-10-17
LPE,2025-10-17T11:33:54Z,2025-10-17,06:33:54,6,EPTFUS,0.750,88.296,14.08,0.000,0.092904,MYOSEP,NA,NA,NA,4,4,2.499,1,0,94.885,73.419,9.000,245AAA0666BC1507,id.csv,10 19\20251017,245AAA0666BC1507_20251017_113354T.WAV,245AAA0666BC1507_20251017_113354_000,NA,NA,NA,3,85.243,1067.089,88.178,1.522,-1734.274,1.727,4.96,NA,2025-10-17T11:33:54Z,EPTFUS,2025-10-16
LPE,2025-10-17T11:30:24Z,2025-10-17,06:30:24,6,EPTFUS,0.750,80.962,-463.31,0.000,0.129053,MYOLUC,NA,NA,NA,4,4,2.410,1,0,84.220,66.812,9.000,245AAA0666BC1507,id.csv,10 19\20251017,245AAA0666BC1507_20251017_113024T.WAV,245AAA0666BC1507_20251017_113024_000,NA,NA,NA,3,76.423,1205.337,74.881,1.007,-883.640,1.400,5.25,NA,2025-10-17T11:30:24Z,EPTFUS,2025-10-16
LPE,2025-10-17T11:24:48Z,2025-10-17,06:24:48,6,EPTFUS,0.750,84.778,-83.00,0.000,0.127444,MYOLUC,NA,NA,NA,4,4,2.808,1,0,92.333,72.002,9.000,245AAA0666BC1507,id.csv,10 19\20251017,245AAA0666BC1507_20251017_112448T.WAV,245AAA0666BC1507_20251017_112448_000,NA,NA,NA,3,83.241,1121.470,84.832,1.728,-311.139,1.912,6.65,NA,2025-10-17T11:24:48Z,EPTFUS,2025-10-16
LPE,2025-10-18T03:45:04Z,2025-10-17,22:45:04,22,EPTFUS,0.750,27.976,62.23,0.000,0.254520,LASNOC,NA,NA,NA,4,4,4.070,1,0,34.529,27.976,9.000,245AAA0666BC1507,id.csv,10 19\20251018,245AAA0666BC1507_20251018_034504T.WAV,245AAA0666BC1507_20251018_034504_000,NA,NA,NA,3,30.356,278.666,30.359,2.366,126.842,3.961,0.77,NA,2025-10-18T03:45:04Z,EPTFUS,2025-10-17
LPE,2025-10-17T11:32:58Z,2025-10-17,06:32:58,6,EPTFUS,1.000,84.010,274.39,0.000,0.238493,NA,NA,NA,NA,2,2,2.681,1,0,95.603,78.478,9.000,245AAA0666BC1507,id.csv,10 19\20251017,245AAA0666BC1507_20251017_113258T.WAV,245AAA0666BC1507_20251017_113258_000,NA,NA,NA,2,87.302,22.553,86.145,0.813,-2164.917,0.974,4.55,NA,2025-10-17T11:32:58Z,EPTFUS,2025-10-16
LPE,2025-10-17T11:32:44Z,2025-10-17,06:32:44,6,EPTFUS,1.000,89.845,-23.80,0.000,0.225770,NA,NA,NA,NA,2,2,2.238,1,0,98.381,81.334,9.000,245AAA0666BC1507,id.csv,10 19\20251017,245AAA0666BC1507_20251017_113244T.WAV,245AAA0666BC1507_20251017_113244_000,NA,NA,NA,2,91.175,265.166,89.039,1.150,-3368.861,1.303,2.99,NA,2025-10-17T11:32:44Z,EPTFUS,2025-10-16
LPE,2025-10-17T11:39:02Z,2025-10-17,06:39:02,6,EPTFUS,1.000,82.271,754.34,0.000,0.240968,NA,NA,NA,NA,2,2,2.994,1,0,98.200,77.719,9.000,245AAA0666BC1507,id.csv,10 19\20251017,245AAA0666BC1507_20251017_113902T.WAV,245AAA0666BC1507_20251017_113902_000,NA,NA,NA,2,90.571,316.371,89.189,1.670,-4646.033,1.812,2.31,NA,2025-10-17T11:39:02Z,EPTFUS,2025-10-16
LPE,2025-10-17T11:33:26Z,2025-10-17,06:33:26,6,EPTFUS,1.000,93.124,31.36,0.000,0.234965,NA,NA,NA,NA,2,2,2.852,1,0,98.841,79.679,9.000,245AAA0666BC1507,id.csv,10 19\20251017,245AAA0666BC1507_20251017_113326T.WAV,245AAA0666BC1507_20251017_113326_000,NA,NA,NA,2,90.437,5.562,93.247,1.197,-1596.746,1.648,3.45,NA,2025-10-17T11:33:26Z,EPTFUS,2025-10-16
LPE,2025-10-17T11:35:04Z,2025-10-17,06:35:04,6,EPTFUS,1.000,85.145,-57.20,0.000,0.236250,NA,NA,NA,NA,1,2,2.990,1,0,97.619,80.542,9.000,245AAA0666BC1507,id.csv,10 19\20251017,245AAA0666BC1507_20251017_113504T.WAV,245AAA0666BC1507_20251017_113504_000,NA,NA,NA,2,90.969,0.000,84.670,2.367,-1781.561,2.508,3.50,NA,2025-10-17T11:35:04Z,EPTFUS,2025-10-16
LPE,2025-10-18T00:06:12Z,2025-10-17,19:06:12,19,EPTFUS,1.000,28.616,31.15,0.000,0.434038,NA,NA,NA,NA,2,2,4.542,1,0,33.831,28.421,9.000,245AAA0666BC1507,id.csv,10 19\20251018,245AAA0666BC1507_20251018_000612T.WAV,245AAA0666BC1507_20251018_000612_000,NA,NA,NA,2,30.241,538.028,29.690,2.598,125.624,4.324,0.42,NA,2025-10-18T00:06:12Z,EPTFUS,2025-10-17
LPE,2025-10-17T11:37:52Z,2025-10-17,06:37:52,6,EPTFUS,1.000,89.039,140.08,0.000,0.240632,NA,NA,NA,NA,2,2,2.332,1,0,94.764,71.257,9.000,245AAA0666BC1507,id.csv,10 19\20251017,245AAA0666BC1507_20251017_113752T.WAV,245AAA0666BC1507_20251017_113752_000,NA,NA,NA,2,85.677,274.941,89.756,0.874,-3357.518,1.098,6.70,NA,2025-10-17T11:37:52Z,EPTFUS,2025-10-16
LPE,2025-10-17T23:58:30Z,2025-10-17,18:58:30,18,EPTFUS,1.000,30.019,99.05,0.000,0.106688,NA,NA,NA,NA,2,2,2.805,1,0,38.927,29.963,9.000,245AAA0666BC1507,id.csv,10 19\20251017,245AAA0666BC1507_20251017_235830T.WAV,245AAA0666BC1507_20251017_235830_000,NA,NA,NA,2,33.355,123.417,32.525,1.640,217.913,2.805,0.42,NA,2025-10-17T23:58:30Z,EPTFUS,2025-10-17
LPE,2025-10-18T00:03:52Z,2025-10-17,19:03:52,19,EPTFUS,0.667,29.544,46.85,0.000,0.205417,LASNOC,NA,NA,NA,3,3,3.107,1,0,34.214,28.892,9.000,245AAA0666BC1507,id.csv,10 19\20251018,245AAA0666BC1507_20251018_000352T.WAV,245AAA0666BC1507_20251018_000352_000,NA,NA,NA,2,30.841,306.336,31.038,1.496,75.066,2.558,0.87,NA,2025-10-18T00:03:52Z,EPTFUS,2025-10-17
LPE,2025-10-18T00:05:02Z,2025-10-17,19:05:02,19,EPTFUS,0.667,27.018,26.29,0.000,0.304829,LASNOC,NA,NA,NA,3,3,4.338,1,0,31.526,26.805,9.000,245AAA0666BC1507,id.csv,10 19\20251018,245AAA0666BC1507_20251018_000502T.WAV,245AAA0666BC1507_20251018_000502_000,NA,NA,NA,2,28.644,1513.872,27.794,2.980,140.237,4.287,0.77,NA,2025-10-18T00:05:02Z,EPTFUS,2025-10-17
LPE,2025-10-17T11:31:06Z,2025-10-17,06:31:06,6,EPTFUS,0.667,94.198,-432.11,0.000,0.068042,MYOSEP,NA,NA,NA,3,3,2.601,1,0,95.793,68.529,9.000,245AAA0666BC1507,id.csv,10 19\20251017,245AAA0666BC1507_20251017_113106T.WAV,245AAA0666BC1507_20251017_113106_000,NA,NA,NA,2,87.207,1278.122,86.816,1.004,137.265,1.454,4.74,NA,2025-10-17T11:31:06Z,EPTFUS,2025-10-16
LPE,2025-10-19T00:39:34Z,2025-10-18,19:39:34,19,EPTFUS,0.667,28.316,13.15,0.000,0.253280,LASNOC,NA,NA,NA,3,3,6.928,1,0,34.434,26.748,9.000,245AAA0666BC1507,id.csv,10 19\20251019,245AAA0666BC1507_20251019_003934T.WAV,245AAA0666BC1507_20251019_003934_000,NA,NA,NA,2,29.873,323.179,28.542,4.671,136.520,5.476,0.70,NA,2025-10-19T00:39:34Z,EPTFUS,2025-10-18
LPE,2025-10-24T07:23:46Z,2025-10-24,02:23:46,2,LASBOR,1.000,32.925,4.95,0.000,0.275406,NA,NA,NA,NA,2,2,3.620,1,0,33.762,32.525,9.000,245AAA0666BC1507,id.csv,10 26\20251024,245AAA0666BC1507_20251024_072346T.WAV,245AAA0666BC1507_20251024_072346_000,NA,NA,NA,2,33.076,1135.417,33.062,2.036,135.718,3.067,0.61,NA,2025-10-24T07:23:46Z,LASBOR,2025-10-23
LPE,2025-10-17T07:48:30Z,2025-10-17,02:48:30,2,LASBOR,0.667,43.511,43.95,0.000,0.151072,MYOLUC,NA,NA,NA,3,3,2.597,1,0,47.924,42.894,9.000,245AAA0666BC1507,id.csv,10 19\20251017,245AAA0666BC1507_20251017_074830T.WAV,245AAA0666BC1507_20251017_074830_000,NA,NA,NA,2,44.767,382.500,45.072,1.049,82.204,2.230,1.08,NA,2025-10-17T07:48:30Z,LASBOR,2025-10-16
LPE,2025-10-17T03:32:46Z,2025-10-16,22:32:46,22,LASCIN,0.909,20.039,21.37,0.000,0.345835,EPTFUS,NA,NA,NA,11,11,4.530,1,0,22.222,19.808,9.000,245AAA0666BC1507,id.csv,10 19\20251017,245AAA0666BC1507_20251017_033246T.WAV,245AAA0666BC1507_20251017_033246_000,NA,NA,NA,10,20.622,386.517,20.670,2.149,127.671,3.967,1.60,NA,2025-10-17T03:32:46Z,LASCIN,2025-10-16
